image,Depth_mean,Depth_std,Shading_mean,Shading_std,Normals_mean,Normals_std
man_crosses_busy_city_street_on_foot.png,0.35689396,0.30768916,0.5045800935316656,0.24107934419316407,0.03162013644824975,0.13666629946373965
man_crossing_busy_city_street_on_foot.png,0.39759582,0.33267373,0.4487685635646741,0.3246125938080493,0.03594269190861721,0.1084269796073544
man_crossing_with_diverse_college_student_group.png,0.43435037,0.29881427,0.5516475356231455,0.2884532326506952,0.031421986886771475,0.10882113705360276
man_in_safety_vest_doing_plank_downtown.png,0.35473526,0.29257625,0.5496694169765609,0.27826843702518517,0.03443930101746941,0.11546720233636353
man_in_tan_sweater_walks_city_street.png,0.43361044,0.28862652,0.48572498339014697,0.26245373243566056,0.03564623850583015,0.1187658821407139
man_lying_on_grey_city_sidewalk_surrounded_people..png,0.33239946,0.300894,0.5238848334510111,0.25519913860923704,0.01981303612326182,0.03472483033669543
man_sitting_in_outdoor_busy_park_surrounded_trees.png,0.28963488,0.2160019,0.3768800277085211,0.23665381569980695,0.027279769731445844,0.07583381085092278
man_sitting_on_bench_in_urban_park.png,0.30459973,0.2452361,0.4015481057724814,0.23481983390739314,0.04203820123997381,0.13200442567208884
man_walking_on_city_street_with_crowd.png,0.39235485,0.30324134,0.5096631560011455,0.30605894979022313,0.02806522945167639,0.09582285071566976
person_lying_on_city_street_with_friends.png,0.33433354,0.31464234,0.6141044391445516,0.27052758241248487,0.02555327877751686,0.07392660470193238
