image,Depth_mean,Depth_std,Shading_mean,Shading_std,Normals_mean,Normals_std
image (1).jpeg,0.3866444,0.30951676,0.5537794000962203,0.2542844533387741,0.026690516649745852,0.06321327096755867
image (2).jpeg,0.467546,0.30314177,0.4877108742209041,0.26231933664498286,0.030188704523185967,0.09041856301504672
image (3).jpeg,0.42039758,0.30395544,0.5850607815910785,0.2349157867173918,0.023177031677293968,0.03339547031475156
image (4).jpeg,0.24349836,0.27995327,0.45824402079862725,0.2841005623917145,0.028395632808122233,0.0652677111654552
image (5).jpeg,0.31943765,0.28660253,0.5390360701317881,0.26323096154481024,0.03893005431642046,0.09063422513935478
image (6).jpeg,0.29810718,0.26478127,0.4805711297427906,0.2234454626217876,0.026565895288421286,0.03158216627677649
image (7).jpeg,0.38142458,0.32558048,0.6320321812349209,0.27045658128592326,0.026700545685850022,0.05616450294095295
image (8).jpeg,0.45000395,0.29627407,0.6304852130366305,0.2368138055160365,0.0338742633916417,0.12550760703965333
image (9).jpeg,0.37573972,0.28582123,0.49479889589197495,0.24117092023920833,0.0366920295816858,0.09937645123488055
image.jpeg,0.38843518,0.31377703,0.520491787031585,0.2118277695554427,0.027141313912525906,0.10202359529572441
